Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,LinkA,LinkB
Shut Down,ARMENIA,AM-18,ARMENIAN-1, PWR,12/1/1976,10/1/1977,2/1/1989,nan,nan
Shut Down,BELGIUM,BE-1,BR-3, PWR,10/1/1962,10/1/1962,6/1/1987,https://en.wikipedia.org/wiki/Nuclear_energy_in_Belgium,https://science.sckcen.be/en/Facilities/BR3
Shut Down,BULGARIA,BG-1,KOZLODUY-1, PWR,7/1/1974,10/1/1974,12/1/2002,https://en.wikipedia.org/wiki/Kozloduy_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Kozloduy_Nuclear_Power_Plant
Shut Down,CANADA,CA-2,DOUGLAS POINT, PHWR,1/1/1967,9/1/1968,5/1/1984,https://en.wikipedia.org/wiki/Douglas_Point_Nuclear_Generating_Station,https://en.wikipedia.org/wiki/Douglas_Point_Nuclear_Generating_Station
Shut Down,CANADA,CA-3,GENTILLY-1, HWLWR,4/1/1971,5/1/1972,6/1/1977,https://en.wikipedia.org/wiki/Gentilly_Nuclear_Generating_Station,https://en.wikipedia.org/wiki/Gentilly_Nuclear_Generating_Station
Shut Down,CANADA,CA-5,PICKERING-2, PHWR,10/1/1971,12/1/1971,5/1/2007,https://en.wikipedia.org/wiki/Pickering_Nuclear_Generating_Station,https://en.wikipedia.org/wiki/Pickering_Nuclear_Generating_Station
Shut Down,CANADA,CA-1,ROLPHTON NPD, PHWR,6/1/1962,10/1/1962,8/1/1987,https://en.wikipedia.org/wiki/Nuclear_Power_Demonstration,https://en.wikipedia.org/wiki/Nuclear_Power_Demonstration
Shut Down,FRANCE,FR-9,BUGEY-1, GCR,4/1/1972,7/1/1972,5/1/1994,https://en.wikipedia.org/wiki/Bugey_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Bugey_Nuclear_Power_Plant
Shut Down,FRANCE,FR-2,CHINON A-1, GCR,6/1/1963,2/1/1964,4/1/1973,https://en.wikipedia.org/wiki/Chinon_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Chinon_Nuclear_Power_Plant
Shut Down,FRANCE,FR-5,CHOOZ-A (ARDENNES), PWR,4/1/1967,4/1/1967,10/1/1991,https://en.wikipedia.org/wiki/Chooz_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Chooz_Nuclear_Power_Plant
Shut Down,FRANCE,FR-6,EL-4 (MONTS D'ARREE), HWGCR,7/1/1967,6/1/1968,7/1/1985,https://en.wikipedia.org/wiki/Brennilis_Nuclear_Power_Plant,https://en.wikipedia.org/wiki/Brennilis_Nuclear_Power_Plant
