Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,Latitude,Longitude,Link1,Link2,Link3
Operational,ARGENTINA,AR-1,ATUCHA-1,PHWR,3/1/1974,6/1/1974,,-33.96722,-59.2075,https://en.wikipedia.org/wiki/Atucha_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/argentina.aspx,
Operational,ARGENTINA,AR-3,ATUCHA-2,PHWR,6/1/2014,5/1/2016,,-33.96722,-59.2075,https://en.wikipedia.org/wiki/Atucha_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/country-profiles/countries-a-f/argentina.aspx,
Operational,SOUTHAFRICA,ZA-1,KOEBERG-1,PWR,4/1/1984,7/1/1984,,-33.676444,18.4320472,https://en.wikipedia.org/wiki/Koeberg_Nuclear_Power_Station,https://www.world-nuclear.org/reactor/default.aspx/KOEBERG-1,
Operational,SOUTHAFRICA,ZA-2,KOEBERG-2,PWR,7/1/1985,11/1/1985,,-33.676444,18.4320472,https://en.wikipedia.org/wiki/Koeberg_Nuclear_Power_Station,https://www.world-nuclear.org/reactor/default.aspx/KOEBERG-1,
Operational,ARGENTINA,AR-2,EMBALSE,PHWR,4/1/1983,1/1/1984,,-32.232,-64.443,https://en.wikipedia.org/wiki/Embalse_Nuclear_Power_Station,https://www.world-nuclear.org/reactor/default.aspx/EMBALSE,
Operational,BRAZIL,BR-1,ANGRA-1,PWR,4/1/1982,1/1/1985,,-23.00833,-44.45722,https://en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/ANGRA-1,
Operational,BRAZIL,BR-2,ANGRA-2,PWR,7/1/2000,2/1/2001,,-23.00833,-44.45722,https://en.wikipedia.org/wiki/Angra_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/ANGRA-1,
Operational,INDIA,IN-25,KUDANKULAM-1,PWR,10/1/2013,12/1/2014,,8.168889,77.7125,https://en.wikipedia.org/wiki/Kudankulam_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/KUDANKULAM-1,
Operational,INDIA,IN-26,KUDANKULAM-2,PWR,8/1/2016,3/1/2017,,8.16889,77.7125,https://en.wikipedia.org/wiki/Kudankulam_Nuclear_Power_Plant,https://www.world-nuclear.org/reactor/default.aspx/KUDANKULAM-1,
Operational,INDIA,IN-5,MADRAS-1,PHWR,7/1/1983,1/1/1984,,12.5575,80.175,https://en.wikipedia.org/wiki/Madras_Atomic_Power_Station,https://www.world-nuclear.org/reactor/default.aspx/MADRAS-1,
