Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Online,Commercial operation,Shutdown,Offline,Latitude,Longitude,Link1,Link2,Link3,Power from Nuclear
Operational,France,FR-17,ST. LAURENT B-1,PWR,1/1/1981,"January, 1981",8/1/1983,,None (Currently operational),47.72,1.5775,https://en.wikipedia.org/wiki/Saint-Laurent_Nuclear_Power_Plant,http://www.world-nuclear.org/reactor/default.aspx/ST.%2520LAURENT%2520B-1,,0.71
Operational,France,FR-23,ST. LAURENT B-2,PWR,6/1/1981,"June, 1981",8/1/1983,,None (Currently operational),47.72,1.5775,https://en.wikipedia.org/wiki/Saint-Laurent_Nuclear_Power_Plant,http://www.world-nuclear.org/reactor/default.aspx/ST.%2520LAURENT%2520B-1,,0.71
Shut Down,Italy,IT-3,ENRICO FERMI, PWR,10/1/1964,"October, 1964",1/1/1965,7/1/1990,"July, 1990",45.184094,8.277556,https://en.wikipedia.org/wiki/Enrico_Fermi,https://en.wikipedia.org/wiki/Enrico_Fermi_Nuclear_Generating_Station,,0
Shut Down,Japan,JP-5,FUKUSHIMA-DAIICHI-1, BWR,11/1/1970,"November, 1970",3/1/1971,5/1/2011,"May, 2011",37.42306,141.03306,https://en.wikipedia.org/wiki/Fukushima_Daiichi_nuclear_disaster_(Unit_1_Reactor),https://en.wikipedia.org/wiki/Fukushima_Daiichi_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/safety-and-security/safety-of-plants/fukushima-daiichi-accident.aspx,0.03
Shut Down,Japan,JP-9,FUKUSHIMA-DAIICHI-2, BWR,12/1/1973,"December, 1973",7/1/1974,5/1/2011,"May, 2011",37.42306,141.03306,https://en.wikipedia.org/wiki/Fukushima_Daiichi_nuclear_disaster_(Unit_1_Reactor),https://en.wikipedia.org/wiki/Fukushima_Daiichi_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/safety-and-security/safety-of-plants/fukushima-daiichi-accident.aspx,0.03
Shut Down,Japan,JP-10,FUKUSHIMA-DAIICHI-3, BWR,10/1/1974,"October, 1974",3/1/1976,5/1/2011,"May, 2011",37.42139,141.0325,https://en.wikipedia.org/wiki/Fukushima_Daiichi_nuclear_disaster_(Unit_1_Reactor),https://en.wikipedia.org/wiki/Fukushima_Daiichi_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/safety-and-security/safety-of-plants/fukushima-daiichi-accident.aspx,0.03
Shut Down,Japan,JP-16,FUKUSHIMA-DAIICHI-4, BWR,2/1/1978,"February, 1978",10/1/1978,5/1/2011,"May, 2011",37.427338,141.032407,https://en.wikipedia.org/wiki/Fukushima_Daiichi_nuclear_disaster_(Unit_1_Reactor),https://en.wikipedia.org/wiki/Fukushima_Daiichi_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/safety-and-security/safety-of-plants/fukushima-daiichi-accident.aspx,0.03
Shut Down,Japan,JP-17,FUKUSHIMA-DAIICHI-5, BWR,9/1/1977,"September, 1977",4/1/1978,12/1/2013,"December, 2013",37.42306,141.03306,https://en.wikipedia.org/wiki/Fukushima_Daiichi_nuclear_disaster_(Unit_1_Reactor),https://en.wikipedia.org/wiki/Fukushima_Daiichi_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/safety-and-security/safety-of-plants/fukushima-daiichi-accident.aspx,0.03
Shut Down,Japan,JP-18,FUKUSHIMA-DAIICHI-6, BWR,5/1/1979,"May, 1979",10/1/1979,12/1/2013,"December, 2013",37.42306,141.03306,https://en.wikipedia.org/wiki/Fukushima_Daiichi_nuclear_disaster_(Unit_1_Reactor),https://en.wikipedia.org/wiki/Fukushima_Daiichi_Nuclear_Power_Plant,https://www.world-nuclear.org/information-library/safety-and-security/safety-of-plants/fukushima-daiichi-accident.aspx,0.03
Shut Down,France,FR-10,PHENIX, FBR,12/1/1973,"December, 1973",7/1/1974,2/1/2010,"February, 2010",44.143333,4.711667,https://en.wikipedia.org/wiki/Ph%25C3%25A9nix,https://en.wikipedia.org/wiki/Superph%25C3%25A9nix,,0.71
