Status,Country,ReactorCode,Reactor Name,Type,Grid Connection,Commercial operation,Shutdown,,,,ARMENIA,BELGIUM,BULGARIA,CANADA,FRANCE,GERMANY,ITALY,JAPAN,KAZAKHSTAN,"KOREA,REP.OF",LITHUANIA,NETHERLANDS,RUSSIA,SLOVAKIA,SPAIN,SWEDEN,SWITZERLAND,UK,UKRAINE,USA,CZECHREP.,SLOVENIA,ROMANIA,INDIA,CHINA,SOUTHAFRICA,HUNGARY,FINLAND,BRAZIL,"IRAN,ISL.REP.",ARGENTINA,PAKISTAN,MEXICO
Shut Down,ARMENIA,AM-18,ARMENIAN-1, PWR,12/1/1976,10/1/1977,2/1/1989,,1/1/1954,12/31/1954,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Down,BELGIUM,BE-1,BR-3, PWR,10/1/1962,10/1/1962,6/1/1987,,1/1/1955,12/31/1955,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Down,BULGARIA,BG-1,KOZLODUY-1, PWR,7/1/1974,10/1/1974,12/1/2002,,1/1/1956,12/31/1956,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Down,BULGARIA,BG-2,KOZLODUY-2, PWR,8/1/1975,11/1/1975,12/1/2002,,1/1/1957,12/31/1957,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Down,BULGARIA,BG-3,KOZLODUY-3, PWR,12/1/1980,1/1/1981,12/1/2006,,1/1/1958,12/31/1958,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Down,BULGARIA,BG-4,KOZLODUY-4, PWR,5/1/1982,6/1/1982,12/1/2006,,1/1/1959,12/31/1959,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Down,CANADA,CA-2,DOUGLAS POINT, PHWR,1/1/1967,9/1/1968,5/1/1984,,1/1/1960,12/31/1960,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Down,CANADA,CA-3,GENTILLY-1, HWLWR,4/1/1971,5/1/1972,6/1/1977,,1/1/1961,12/31/1961,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Down,CANADA,CA-12,GENTILLY-2, PHWR,12/1/1982,10/1/1983,12/1/2012,,1/1/1962,12/31/1962,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Down,CANADA,CA-5,PICKERING-2, PHWR,10/1/1971,12/1/1971,5/1/2007,,1/1/1963,12/31/1963,0,1,0,1,3,1,1,1,0,0,0,0,1,0,0,0,0,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Down,CANADA,CA-6,PICKERING-3, PHWR,5/1/1972,6/1/1972,10/1/2008,,1/1/1964,12/31/1964,0,1,0,1,3,1,3,1,0,0,0,0,3,0,0,1,0,16,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Down,CANADA,CA-1,ROLPHTON NPD, PHWR,6/1/1962,10/1/1962,8/1/1987,,1/1/1965,12/31/1965,0,1,0,1,4,1,3,2,0,0,0,0,3,0,0,1,0,22,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Down,FRANCE,FR-9,BUGEY-1, GCR,4/1/1972,7/1/1972,5/1/1994,,1/1/1966,12/31/1966,0,1,0,1,5,4,3,2,0,0,0,0,3,0,0,1,0,24,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Down,FRANCE,FR-2,CHINON A-1, GCR,6/1/1963,2/1/1964,4/1/1973,,1/1/1967,12/31/1967,0,1,0,2,7,5,3,2,0,0,0,0,4,0,0,1,0,26,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Down,FRANCE,FR-3,CHINON A-2, GCR,2/1/1965,2/1/1965,6/1/1985,,1/1/1968,12/31/1968,0,1,0,2,7,7,3,2,0,0,0,1,4,0,1,1,1,27,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
Shut Down,FRANCE,FR-4,CHINON A-3, GCR,8/1/1966,8/1/1966,6/1/1990,,1/1/1969,12/31/1969,0,1,0,2,8,8,3,3,0,0,0,1,5,0,1,1,1,27,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0
Shut Down,FRANCE,FR-5,CHOOZ-A (ARDENNES), PWR,4/1/1967,4/1/1967,10/1/1991,,1/1/1970,12/31/1970,0,1,0,2,8,8,3,5,0,0,0,1,5,0,1,1,1,27,0,19,0,0,0,2,0,0,0,0,0,0,0,0,0
Shut Down,FRANCE,FR-6,EL-4 (MONTS D'ARREE), HWGCR,7/1/1967,6/1/1968,7/1/1985,,1/1/1971,12/31/1971,0,1,0,5,9,9,3,5,0,0,0,1,6,0,2,2,3,29,0,22,0,0,0,2,0,0,0,0,0,0,0,1,0
Shut Down,FRANCE,FR-1B,G-2 (MARCOULE), GCR,4/1/1959,4/1/1959,2/1/1980,,1/1/1972,12/31/1972,0,1,0,6,10,9,3,6,0,0,0,1,7,1,3,2,3,29,0,30,0,0,0,3,0,0,0,0,0,0,0,1,0
Shut Down,FRANCE,FR-1,G-3 (MARCOULE), GCR,4/1/1960,4/1/1960,6/1/1984,,1/1/1973,12/31/1973,0,1,0,7,11,11,3,8,1,0,0,2,9,1,3,2,3,29,0,38,0,0,0,3,0,0,0,0,0,0,0,1,0
Shut Down,FRANCE,FR-10,PHENIX, FBR,12/1/1973,7/1/1974,2/1/2010,,1/1/1974,12/31/1974,0,2,1,7,10,13,3,11,1,0,0,2,12,1,3,5,3,29,0,50,0,0,0,3,0,0,0,0,0,0,1,1,0
Shut Down,FRANCE,FR-7,ST. LAURENT A-1, GCR,3/1/1969,6/1/1969,4/1/1990,,1/1/1975,12/31/1975,0,4,2,7,10,12,3,13,1,0,0,2,14,1,3,5,3,30,0,54,0,0,0,3,0,0,0,0,0,0,1,1,0
