index,Country,Reactor Code,Reactor Name,Shut down ,Shutdown reason,Decom. strategy,Current decom.  phase,Current fuel management,Decom. licensee,Licence expiration,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Latitude,Longitude
Decommissioning,USA, US -014,BONUS, 1968-6,"5,6", ISD,,, DOE/PRWR,1970,,,,,,,18.36639,-67.26861
Decommissioning,USA, US -206,SAN ONOFRE-1, 1992-11,Others, Dd+PD+SE,4,, SCE,2008,,,,,,,33.36889,-117.555
Decommissioning,JAPAN, JP -23,IKATA-1, 2016-5,Others, Dd+SE,7,2, SHIKOKU,2056,,,,,,,33.49083,132.31139
Decommissioning,JAPAN, JP -32,IKATA-2, 2018-5,Others, Other,1,, SHIKOKU,,,,,,,,33.49083,132.31139
Decommissioning,JAPAN, JP -12,GENKAI-1, 2015-4,3, Dd+PD+SE,6,, KYUSHU,,,,,,,,33.51556,129.83722
Decommissioning,JAPAN, JP -11,HAMAOKA-1, 2009-1,6, Dd+SE,"3,4,6,7",, CHUBU DL,2037,,,,,,,34.62361,138.1425
Decommissioning,JAPAN, JP -24,HAMAOKA-2, 2009-1,6, Dd+SE,"3,4,6,7",, CHUBU DL,2037,,,,,,,34.62361,138.1425
Decommissioning," KOREA, REP. OF", KR -1,KORI-1, 2017-6,"7,Others", ID,1,, KHNP,,,,,,,,35.319904,129.290053
Decommissioning,JAPAN, JP -7,SHIMANE-1, 2015-4,6, Other,,, CHUGOKU,,,,,,,,35.53833,132.99917
Decommissioning,JAPAN, JP -4,MIHAMA-1, 2015-4,3, Dd+PD+SE,"3,6,8",, KEPCO,2046,,,,,,,35.703475,135.9635778
Decommissioning,JAPAN, JP -6,MIHAMA-2, 2015-4,3, Dd+PD+SE,"3,6,8",, KEPCO,2046,,,,,,,35.703475,135.9635778
Decommissioning,JAPAN, JP -31,MONJU, 2017-12,7, ID,"1,2",1,,2047,,,,,,,35.74028,135.98806
Decommissioning,JAPAN, JP -3,TSURUGA-1, 2015-4,3, Dd+PD+SE,"3,4,6,7",, JAPCO,2040,,,,,,,35.75194,136.01889
Decommissioning, JAPAN, JP -1,JPDR, 1976-3,Others, ID,3,, JAERI,2002,,,,,,,35.75444,136.01639
Decommissioning, JAPAN, JP -20,FUGEN ATR, 2003-3,2, ID,"1,6",5, JAEA,2034,,,,,,,35.75444,136.01639
Decommissioning,JAPAN, JP -10,FUKUSHIMA-DAIICHI-3, 2011-5,Others, Other,,, TEPCO DL,,,,,,,,37.42139,141.0325
Decommissioning,JAPAN, JP -5,FUKUSHIMA-DAIICHI-1, 2011-5,Others, Other,,, TEPCO DL,,,,,,,,37.42139,141.0325
Decommissioning,JAPAN, JP -17,FUKUSHIMA-DAIICHI-5, 2013-12,Others, Other,,, TEPCO DL,,,,,,,,37.42306,141.03306
Decommissioning,JAPAN, JP -18,FUKUSHIMA-DAIICHI-6, 2013-12,Others, Other,,, TEPCO DL,,,,,,,,37.42306,141.03306
Decommissioning,JAPAN, JP -9,FUKUSHIMA-DAIICHI-2, 2011-5,Others, Other,,, TEPCO DL,,,,,,,,37.42306,141.03306
Decommissioning,JAPAN, JP -16,FUKUSHIMA-DAIICHI-4, 2011-5,Others, Other,,, TEPCO DL,,,,,,,,37.427338,141.032407
Decommissioning,USA, US -018,GE VALLECITOS, 1963-12,1, Dd+SE,,, GE&PGEC,,,,,,,,37.6132667,-121.8401639
Decommissioning,USA, US -312,RANCHO SECO-1, 1989-6,"5,6", Dd+PD+SE,,, SMUD,2009,,,,,,,38.34528,-121.12167
Decommissioning,USA, US -171,PEACH BOTTOM-1, 1974-11,1, Dd+SE,"1,9",, EXELON,,,,,,,,39.75833,-76.26806
Decommissioning,USA, US -012,PIQUA, 1966-1,"4,5", ISD,11,, CofPiqua,,,,,,,,40.1323167,-84.2347667
Decommissioning,USA, US -320,THREE MILE ISLAND-2, 1979-3,"4,5", Other,"9,11",4, GPU,,,,,,,,40.153293,-76.72534
Decommissioning,USA, US -146,SAXTON, 1972-5,Others, ID,,, GPUNC,2005,,,,,,,40.22694,-78.24194
Decommissioning,USA, US -267,FORT ST. VRAIN, 1989-8,"1,Others", ID,,, PSCC,1996,,,,,,,40.24444,-104.87417
Decommissioning, USA, US -077,HALLAM, 1964-9,5, Dd+SE,,, AEC&NPPD,1971,,,,,,,40.55925,-96.7847111
Decommissioning, USA, US -001,SHIPPINGPORT, 1982-10,3, ID,,, DOE DUQU,1989,,,,,,,40.62111,-80.43528
Decommissioning,USA, US -133,HUMBOLDT BAY, 1976-7,5, Dd+PD+SE,"3,4,6",, PG&E,2013,,,,,,,40.7413222,-124.2090444
Decommissioning,USA, US -322,SHOREHAM, 1989-5,"7,Others", ID,,, LIPA,1995,,,,,,,40.96111,-72.865
Decommissioning,ITALY, IT -2,GARIGLIANO, 1982-3,"3,4,Others", ID,"3,6,9",, SOGIN,2033,,,,,,,41.25849,13.83492
Decommissioning,USA, US -013,INDIAN POINT-1, 1974-10,5, Dd+PD+SE,,, ENTERGY,,,,,,,,41.26972,-73.95222
Decommissioning,USA, US -245,MILLSTONE-1, 1998-7,6, Dd+PD+SE,,, DOMINRES,,,,,,,,41.3119,-72.1686
Decommissioning,USA, US -10,DRESDEN-1, 1978-10,6, Dd+SE,"9,11",7, EXELON,,,,,,,,41.38972,-88.26806
Decommissioning, ITALY, IT -1,LATINA, 1987-12,"7,Others", Other,"3,6",, SOGIN,2043,,,,,,,41.4261083,12.80686139
Decommissioning,USA, US -213,HADDAM NECK, 1996-12,6, ID,"4,6",, CYAPC,2007,,,,,,,41.48222,-72.49833
Decommissioning,USA, US -16,FERMI-1, 1972-11,"4,5", Dd+SE,"9,11",, DTEDISON,2025,,,,,,,41.96278,-83.2575
