Years,Continent,Countries,Reactor Count
1/1/1954,Asia,ARMENIA,0
1/1/1955,Asia,ARMENIA,0
1/1/1956,Asia,ARMENIA,0
1/1/1957,Asia,ARMENIA,0
1/1/1958,Asia,ARMENIA,0
1/1/1959,Asia,ARMENIA,0
1/1/1960,Asia,ARMENIA,0
1/1/1961,Asia,ARMENIA,0
1/1/1962,Asia,ARMENIA,0
1/1/1963,Asia,ARMENIA,0
1/1/1964,Asia,ARMENIA,0
1/1/1965,Asia,ARMENIA,0
1/1/1966,Asia,ARMENIA,0
1/1/1967,Asia,ARMENIA,0
1/1/1968,Asia,ARMENIA,0
1/1/1969,Asia,ARMENIA,0
1/1/1970,Asia,ARMENIA,0
1/1/1971,Asia,ARMENIA,0
1/1/1972,Asia,ARMENIA,0
1/1/1973,Asia,ARMENIA,0
1/1/1974,Asia,ARMENIA,0
1/1/1975,Asia,ARMENIA,0
1/1/1976,Asia,ARMENIA,1
1/1/1977,Asia,ARMENIA,1
1/1/1978,Asia,ARMENIA,1
1/1/1979,Asia,ARMENIA,1
1/1/1980,Asia,ARMENIA,2
1/1/1981,Asia,ARMENIA,2
1/1/1982,Asia,ARMENIA,2
1/1/1983,Asia,ARMENIA,2
1/1/1984,Asia,ARMENIA,2
1/1/1985,Asia,ARMENIA,2
1/1/1986,Asia,ARMENIA,2
1/1/1987,Asia,ARMENIA,2
1/1/1988,Asia,ARMENIA,2
1/1/1989,Asia,ARMENIA,2
1/1/1990,Asia,ARMENIA,1
1/1/1991,Asia,ARMENIA,1
1/1/1992,Asia,ARMENIA,1
1/1/1993,Asia,ARMENIA,1
1/1/1994,Asia,ARMENIA,1
1/1/1995,Asia,ARMENIA,1
1/1/1996,Asia,ARMENIA,1
1/1/1997,Asia,ARMENIA,1
1/1/1998,Asia,ARMENIA,1
1/1/1999,Asia,ARMENIA,1
1/1/2000,Asia,ARMENIA,1
1/1/2001,Asia,ARMENIA,1
1/1/2002,Asia,ARMENIA,1
1/1/2003,Asia,ARMENIA,1
1/1/2004,Asia,ARMENIA,1
1/1/2005,Asia,ARMENIA,1
1/1/2006,Asia,ARMENIA,1
1/1/2007,Asia,ARMENIA,1
1/1/2008,Asia,ARMENIA,1
1/1/2009,Asia,ARMENIA,1
1/1/2010,Asia,ARMENIA,1
1/1/2011,Asia,ARMENIA,1
1/1/2012,Asia,ARMENIA,1
1/1/2013,Asia,ARMENIA,1
1/1/2014,Asia,ARMENIA,1
1/1/2015,Asia,ARMENIA,1
1/1/2016,Asia,ARMENIA,1
1/1/2017,Asia,ARMENIA,1
1/1/2018,Asia,ARMENIA,1
1/1/2019,Asia,ARMENIA,1
1/1/2020,Asia,ARMENIA,1
1/1/1954,Europe,BELGIUM,0
1/1/1955,Europe,BELGIUM,0
1/1/1956,Europe,BELGIUM,0
1/1/1957,Europe,BELGIUM,0
1/1/1958,Europe,BELGIUM,0
1/1/1959,Europe,BELGIUM,0
1/1/1960,Europe,BELGIUM,0
1/1/1961,Europe,BELGIUM,0
1/1/1962,Europe,BELGIUM,1
1/1/1963,Europe,BELGIUM,1
1/1/1964,Europe,BELGIUM,1
1/1/1965,Europe,BELGIUM,1
1/1/1966,Europe,BELGIUM,1
1/1/1967,Europe,BELGIUM,1
1/1/1968,Europe,BELGIUM,1
1/1/1969,Europe,BELGIUM,1
1/1/1970,Europe,BELGIUM,1
1/1/1971,Europe,BELGIUM,1
1/1/1972,Europe,BELGIUM,1
1/1/1973,Europe,BELGIUM,1
1/1/1974,Europe,BELGIUM,2
1/1/1975,Europe,BELGIUM,4
1/1/1976,Europe,BELGIUM,4
1/1/1977,Europe,BELGIUM,4
1/1/1978,Europe,BELGIUM,4
1/1/1979,Europe,BELGIUM,4
1/1/1980,Europe,BELGIUM,4
1/1/1981,Europe,BELGIUM,4
1/1/1982,Europe,BELGIUM,6
1/1/1983,Europe,BELGIUM,6
1/1/1984,Europe,BELGIUM,6
1/1/1985,Europe,BELGIUM,8
1/1/1986,Europe,BELGIUM,8
1/1/1987,Europe,BELGIUM,8
1/1/1988,Europe,BELGIUM,7
1/1/1989,Europe,BELGIUM,7
1/1/1990,Europe,BELGIUM,7
1/1/1991,Europe,BELGIUM,7
1/1/1992,Europe,BELGIUM,7
1/1/1993,Europe,BELGIUM,7
1/1/1994,Europe,BELGIUM,7
1/1/1995,Europe,BELGIUM,7
1/1/1996,Europe,BELGIUM,7
1/1/1997,Europe,BELGIUM,7
1/1/1998,Europe,BELGIUM,7
1/1/1999,Europe,BELGIUM,7
1/1/2000,Europe,BELGIUM,7
1/1/2001,Europe,BELGIUM,7
1/1/2002,Europe,BELGIUM,7
1/1/2003,Europe,BELGIUM,7
