Year_start,ARMENIA,BELGIUM,BULGARIA,CANADA,FRANCE,GERMANY,ITALY,JAPAN,KAZAKHSTAN,"KOREA,REP.OF",LITHUANIA,NETHERLANDS,RUSSIA,SLOVAKIA,SPAIN,SWEDEN,SWITZERLAND,UK,UKRAINE,USA,CZECHREP.,SLOVENIA,ROMANIA,INDIA,CHINA,SOUTHAFRICA,HUNGARY,FINLAND,BRAZIL,"IRAN,ISL.REP.",ARGENTINA,PAKISTAN,MEXICO,Total
1/1/1954,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/1/1955,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1/1/1956,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1/1/1957,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1/1/1958,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1/1/1959,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1/1/1960,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15
1/1/1961,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16
1/1/1962,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,13,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,25
1/1/1963,0,1,0,1,3,1,1,1,0,0,0,0,1,0,0,0,0,14,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,34
1/1/1964,0,1,0,1,3,1,3,1,0,0,0,0,3,0,0,1,0,16,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,41
1/1/1965,0,1,0,1,4,1,3,2,0,0,0,0,3,0,0,1,0,22,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,48
1/1/1966,0,1,0,1,5,4,3,2,0,0,0,0,3,0,0,1,0,24,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,55
1/1/1967,0,1,0,2,7,5,3,2,0,0,0,0,4,0,0,1,0,26,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,65
1/1/1968,0,1,0,2,7,7,3,2,0,0,0,1,4,0,1,1,1,27,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,71
1/1/1969,0,1,0,2,8,8,3,3,0,0,0,1,5,0,1,1,1,27,0,15,0,0,0,2,0,0,0,0,0,0,0,0,0,78
1/1/1970,0,1,0,2,8,8,3,5,0,0,0,1,5,0,1,1,1,27,0,19,0,0,0,2,0,0,0,0,0,0,0,0,0,84
1/1/1971,0,1,0,5,9,9,3,5,0,0,0,1,6,0,2,2,3,29,0,22,0,0,0,2,0,0,0,0,0,0,0,1,0,100
1/1/1972,0,1,0,6,10,9,3,6,0,0,0,1,7,1,3,2,3,29,0,30,0,0,0,3,0,0,0,0,0,0,0,1,0,115
1/1/1973,0,1,0,7,11,11,3,8,1,0,0,2,9,1,3,2,3,29,0,38,0,0,0,3,0,0,0,0,0,0,0,1,0,133
1/1/1974,0,2,1,7,10,13,3,11,1,0,0,2,12,1,3,5,3,29,0,50,0,0,0,3,0,0,0,0,0,0,1,1,0,158
1/1/1975,0,4,2,7,10,12,3,13,1,0,0,2,14,1,3,5,3,30,0,54,0,0,0,3,0,0,0,0,0,0,1,1,0,169
1/1/1976,1,4,2,8,10,15,3,14,1,0,0,2,16,1,3,5,3,33,0,62,0,0,0,3,0,0,0,0,0,0,1,1,0,188
1/1/1977,1,4,2,10,12,15,3,16,1,1,0,2,16,1,3,6,3,34,1,64,0,0,0,3,0,0,0,1,0,0,1,1,0,201
1/1/1978,1,4,2,10,14,17,4,21,1,1,0,2,16,1,3,6,3,33,2,69,0,0,0,3,0,0,0,2,0,0,1,1,0,217
1/1/1979,1,4,2,10,16,19,4,22,1,1,0,2,18,1,3,6,4,33,2,68,0,0,0,3,0,0,0,2,0,0,1,1,0,224
1/1/1980,2,4,3,10,23,19,4,23,1,1,0,2,20,2,3,8,4,33,3,69,0,0,0,4,0,0,0,4,0,0,1,1,0,244
1/1/1981,2,4,3,10,30,20,4,25,1,1,0,2,22,2,4,9,4,33,5,73,0,1,0,4,0,0,0,4,0,0,1,1,0,265
1/1/1982,2,6,4,13,32,20,4,25,1,2,0,2,23,2,4,10,4,32,6,77,0,1,0,4,0,0,1,4,1,0,1,1,0,282
1/1/1983,2,6,4,14,36,21,3,28,1,3,1,2,23,2,6,10,4,35,7,79,0,1,0,5,0,0,1,4,1,0,2,1,0,302
1/1/1984,2,6,4,17,42,25,3,31,1,3,1,2,25,3,7,10,5,37,8,85,0,1,0,5,0,1,2,4,1,0,2,1,0,334
1/1/1985,2,8,4,16,45,25,3,33,1,5,1,2,28,4,8,12,5,38,10,93,1,1,0,6,0,2,2,4,1,0,2,1,0,363
1/1/1986,2,8,4,18,49,26,3,35,1,7,1,2,29,4,8,12,5,38,12,100,3,1,0,6,0,2,3,4,1,0,2,1,0,387
1/1/1987,2,8,5,19,53,26,3,36,1,7,2,2,30,4,9,12,5,38,13,108,4,1,0,6,0,2,4,4,1,0,2,1,0,408
1/1/1988,2,7,5,18,55,28,2,38,1,8,2,2,31,4,10,12,5,41,13,109,4,1,0,6,0,2,4,4,1,0,2,1,0,418
1/1/1989,2,7,5,18,55,27,2,39,1,9,2,2,30,4,10,12,5,41,15,112,4,1,0,7,0,2,4,4,1,0,2,1,1,425
1/1/1990,1,7,5,20,58,26,2,41,1,9,2,2,30,4,10,12,5,39,15,111,4,1,0,7,0,2,4,4,1,0,2,1,1,427
1/1/1991,1,7,6,20,57,21,0,42,1,9,2,2,29,4,9,12,5,37,15,111,4,1,0,7,1,2,4,4,1,0,2,1,1,418
1/1/1992,1,7,6,21,57,20,0,44,1,9,2,2,29,4,9,12,5,35,14,110,4,1,0,9,1,2,4,4,1,0,2,1,1,418
1/1/1993,1,7,6,22,57,20,0,48,1,9,2,2,30,4,9,12,5,35,14,109,4,1,0,9,2,2,4,4,1,0,2,1,1,424
1/1/1994,1,7,6,22,57,20,0,50,1,10,2,2,30,4,9,12,5,35,14,109,4,1,0,9,3,2,4,4,1,0,2,1,2,429
1/1/1995,1,7,6,22,56,19,0,51,1,11,2,2,30,4,9,12,5,35,15,109,4,1,0,10,3,2,4,4,1,0,2,1,2,431
1/1/1996,1,7,6,22,57,19,0,54,1,11,2,2,30,4,9,12,5,35,15,110,4,1,1,10,3,2,4,4,1,0,2,1,2,437
1/1/1997,1,7,6,22,59,19,0,54,1,12,2,2,30,4,9,12,5,35,14,109,4,1,1,10,3,2,4,4,1,0,2,1,2,438
1/1/1998,1,7,6,22,59,19,0,54,1,15,2,1,30,5,9,12,5,35,14,107,4,1,1,10,3,2,4,4,1,0,2,1,2,439
1/1/1999,1,7,6,22,59,19,0,53,1,16,2,1,30,6,9,12,5,35,14,104,4,1,1,11,3,2,4,4,1,0,2,1,2,438
1/1/2000,1,7,6,22,59,19,0,53,0,16,2,1,30,6,9,11,5,35,14,104,5,1,1,14,3,2,4,4,2,0,2,2,2,442
1/1/2001,1,7,6,22,59,19,0,54,0,17,2,1,31,6,9,11,5,33,13,104,5,1,1,14,3,2,4,4,2,0,2,2,2,442
1/1/2002,1,7,6,22,59,19,0,54,0,18,2,1,31,6,9,11,5,33,13,104,6,1,1,14,7,2,4,4,2,0,2,2,2,448
1/1/2003,1,7,4,22,59,19,0,54,0,19,2,1,30,6,9,11,5,31,13,104,6,1,1,14,8,2,4,4,2,0,2,2,2,445
1/1/2004,1,7,4,22,59,18,0,54,0,19,2,1,31,6,9,11,5,27,15,104,6,1,1,14,9,2,4,4,2,0,2,2,2,444
1/1/2005,1,7,4,22,59,18,0,56,0,20,1,1,31,6,9,11,5,23,15,104,6,1,1,15,9,2,4,4,2,0,2,2,2,443
1/1/2006,1,7,4,22,59,17,0,56,0,20,1,1,31,6,9,10,5,23,15,104,6,1,1,16,10,2,4,4,2,0,2,2,2,443
1/1/2007,1,7,2,22,59,17,0,56,0,20,1,1,31,5,8,10,5,19,15,104,6,1,2,17,11,2,4,4,2,0,2,2,2,438
1/1/2008,1,7,2,21,59,17,0,56,0,20,1,1,31,5,8,10,5,19,15,104,6,1,2,17,11,2,4,4,2,0,2,2,2,437
1/1/2009,1,7,2,20,59,17,0,55,0,20,1,1,31,4,8,10,5,19,15,104,6,1,2,18,11,2,4,4,2,0,2,2,2,435
1/1/2010,1,7,2,20,59,17,0,55,0,21,0,1,32,4,8,10,5,19,15,104,6,1,2,19,13,2,4,4,2,0,2,2,2,439
1/1/2011,1,7,2,20,58,17,0,55,0,21,0,1,33,4,8,10,5,19,15,104,6,1,2,20,16,2,4,4,2,1,2,3,2,445
1/1/2012,1,7,2,20,58,9,0,51,0,23,0,1,33,4,8,10,5,18,15,104,6,1,2,20,17,2,4,4,2,1,2,3,2,435
1/1/2013,1,7,2,19,58,9,0,51,0,23,0,1,33,4,8,10,5,16,15,104,6,1,2,21,20,2,4,4,2,1,2,3,2,436
1/1/2014,1,7,2,19,58,9,0,49,0,23,0,1,34,4,8,10,5,16,15,100,6,1,2,21,23,2,4,4,2,1,3,3,2,435
1/1/2015,1,7,2,19,58,9,0,49,0,24,0,1,35,4,8,10,5,16,15,99,6,1,2,21,31,2,4,4,2,1,3,3,2,444
1/1/2016,1,7,2,19,58,8,0,44,0,25,0,1,36,4,8,10,5,15,15,100,6,1,2,22,36,2,4,4,2,1,3,4,2,447
1/1/2017,1,7,2,19,58,8,0,43,0,25,0,1,35,4,8,9,5,15,15,99,6,1,2,22,39,2,4,4,2,1,3,5,2,447
1/1/2018,1,7,2,19,58,7,0,42,0,24,0,1,37,4,7,8,5,15,15,99,6,1,2,22,46,2,4,4,2,1,3,5,2,451
