,Country,Reactor Code,Reactor Name,Type,Model,Capacity (MW)-Thermal,Capacity (MW)-Gross,Capacity (MW)-Net,Operator,"NSSS
supplier","Construction
start","Grid
connection","Commercial
operation",EAF %,UCF %,Non-,Coordinates,Latitude,Longitude
0,UKRAINE,UA -54,ZAPOROZHYE-1,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1980-4,1984-12,1985-12,69.84486751,71.82936171,DH,nan,nan,nan
1,UKRAINE,UA -56,ZAPOROZHYE-2,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1981-1,1985-7,1986-2,68.41518827,72.98683249999999,DH,47.51222°N 34.58583°E,47°30′44″N,34°35′09″E
2,UKRAINE,UA -78,ZAPOROZHYE-3,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1982-4,1986-12,1987-3,74.02248562,76.42795937,DH,47.51222°N 34.58583°E,47°30′44″N,34°35′09″E
3,UKRAINE,UA -79,ZAPOROZHYE-4,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1983-4,1987-12,1988-4,73.23654066,75.13930723,DH,47.51222°N 34.58583°E,47°30′44″N,34°35′09″E
4,UKRAINE,UA -126,ZAPOROZHYE-5,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1985-11,1989-8,1989-10,77.32340898,80.16875324,DH,47.51222°N 34.58583°E,47°30′44″N,34°35′09″E
5,UKRAINE,UA -127,ZAPOROZHYE-6,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1986-6,1995-10,1996-9,80.51737572,82.83817087,DH,47.51222°N 34.58583°E,47°30′44″N,34°35′09″E
6,USA,US -315,COOK-1,PWR,WH 4LP (ICECDN,3304,1131,1030,AEP,WH,1969-3,1975-2,1975-8,88.92551013,88.92551013,-,41.97556°N 86.56528°W,41°58′32″N,86°33′55″W
7,USA,US -316,COOK-2,PWR,WH 4LP (ICECDN,3468,1231,1168,AEP,WH,1969-3,1978-3,1978-7,88.81753872,88.81753872,-,41.97556°N 86.56528°W,41°58′32″N,86°33′55″W
8,USA,US -298,COOPER,BWR,BWR-4 (Mark 1),2419,801,769,ENTERGY,GE,1968-6,1974-5,1974-7,92.96252557,92.96252557,-,40.36194°N 95.64139°W,40°21′43″N,95°38′29″W
9,USA,US -346,DAVIS BESSE-1,PWR,B&W RLP (DRYAM,2817,925,894,FENOC,B&W,1970-9,1977-8,1978-7,88.14333617,88.14333617,-,nan,nan,nan
