Country,Reactor Code,Reactor Name,Type,Model,Capacity (MW)-Thermal,Capacity (MW)-Gross,Capacity (MW)-Net,Operator,"NSSS
supplier","Construction
start","Grid
connection","Commercial
operation",EAF %,UCF %,Non-
UKRAINE,UA -54,ZAPOROZHYE-1,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1980-4,1984-12,1985-12,69.84486751,71.82936171,DH
UKRAINE,UA -56,ZAPOROZHYE-2,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1981-1,1985-7,1986-2,68.41518827,72.9868325,DH
UKRAINE,UA -78,ZAPOROZHYE-3,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1982-4,1986-12,1987-3,74.02248562,76.42795937,DH
UKRAINE,UA -79,ZAPOROZHYE-4,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1983-4,1987-12,1988-4,73.23654066,75.13930723,DH
UKRAINE,UA -126,ZAPOROZHYE-5,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1985-11,1989-8,1989-10,77.32340898,80.16875324,DH
UKRAINE,UA -127,ZAPOROZHYE-6,PWR,VVER V-320,3000,1000,950,NNEGC,PAIP,1986-6,1995-10,1996-9,80.51737572,82.83817087,DH
USA,US -315,COOK-1,PWR,WH 4LP (ICECDN,3304,1131,1030,AEP,WH,1969-3,1975-2,1975-8,88.92551013,88.92551013,-
USA,US -316,COOK-2,PWR,WH 4LP (ICECDN,3468,1231,1168,AEP,WH,1969-3,1978-3,1978-7,88.81753872,88.81753872,-
USA,US -298,COOPER,BWR,BWR-4 (Mark 1),2419,801,769,ENTERGY,GE,1968-6,1974-5,1974-7,92.96252557,92.96252557,-
USA,US -346,DAVIS BESSE-1,PWR,B&W RLP (DRYAM,2817,925,894,FENOC,B&W,1970-9,1977-8,1978-7,88.14333617,88.14333617,-
USA,US -331,DUANE ARNOLD-1,BWR,BWR-4 (Mark 1),1912,624,601,NEXTERA,GE,1970-6,1974-5,1975-2,93.86916139,93.86916139,-
USA,US -348,FARLEY-1,PWR,WH 3LP (DRYAMB,2775,918,874,SOUTHERN,WH,1970-10,1977-8,1977-12,92.33065167,92.33065167,-
USA,US -364,FARLEY-2,PWR,WH 3LP (DRYAMB,2775,928,883,SOUTHERN,WH,1970-10,1981-5,1981-7,93.11262538,93.11262538,-
USA,US -333,FITZPATRICK,BWR,BWR-4 (Mark 1),2536,849,813,EXELON,GE,1968-9,1975-2,1975-7,93.37444281,93.57098983,-
USA,US -244,GINNA,PWR,WH 2LP (DRYAMB,1775,608,560,EXELON,WH,1966-4,1969-12,1970-7,95.15622417,95.20777167,-
USA,US -400,HARRIS-1,PWR,WH 3LP (DRYAMB,2900,980,964,PROGRESS,WH,1978-1,1987-1,1987-5,91.43834893,91.43834893,-
USA,US -321,HATCH-1,BWR,BWR-4 (Mark 1),2804,911,876,SOUTHERN,GE,1968-9,1974-11,1975-12,93.81160696,93.81160696,-
USA,US -366,HATCH-2,BWR,BWR-4 (Mark 1),2804,921,883,SOUTHERN,GE,1972-2,1978-9,1979-9,93.32522987,93.32522987,-
USA,US -263,MONTICELLO,BWR,BWR-3 (Mark 1),2004,691,628,NSP,GE,1967-6,1971-3,1971-6,89.04837575,89.04837575,-
USA,US -255,PALISADES,PWR,CE 2LP (DRYAMB,2565,850,805,ENTERGY,CE,1967-3,1971-12,1971-12,89.14771399,89.14771399,-
USA,US -458,RIVER BEND-1,BWR,BWR-6 (Mark 3),3091,1016,967,ENTERGY,GE,1977-3,1985-12,1986-6,90.10293973,90.10293973,-
USA,US -261,ROBINSON-2,PWR,WH 3LP (DRYAMB,2339,780,741,PROGRESS,WH,1967-4,1970-9,1971-3,85.71278606,85.77758266,-
USA,US -335,ST. LUCIE-1,PWR,CE 2LP (DRYAMB,3020,1045,981,FPL,CE,1970-7,1976-5,1976-12,84.79825901,84.83460036,-
USA,US -389,ST. LUCIE-2,PWR,CE 2LP (DRYAMB,3020,1050,987,FPL,CE,1977-6,1983-6,1983-8,87.5786084,87.87408239,-
USA,US -395,SUMMER-1,PWR,WH 3LP (DRYAMB,2900,1006,973,SCE&G,WH,1973-3,1982-11,1984-1,89.51222202,89.51222202,-
