Country,Reactor Code,Reactor Name,Shut down ,Shutdown reason,Decom. strategy,Current decom.  phase,Current fuel management,Decom. licensee,Licence expiration,,,,,,
 ARMENIA, AM -18,ARMENIAN-1, 1989-2,Others, Other,,, ANPPCJSC,,,,,,,
 BELGIUM, BE -1,BR-3, 1987-6,"2,5", ID,"4,9,10",4, CEN/SCK,,,,,,,
 BULGARIA, BG -1,KOZLODUY-1, 2002-12,Others, Dd+PD+SE,6,"3,6,7", E-03492,2031,,,,,,
BULGARIA, BG -2,KOZLODUY-2, 2002-12,Others, Dd+PD+SE,6,"3,6,7", E-03493,2031,,,,,,
BULGARIA, BG -3,KOZLODUY-3, 2006-12,Others, Dd+PD+SE,6,"3,7", E-00174,2031,,,,,,
BULGARIA, BG -4,KOZLODUY-4, 2006-12,Others, Dd+PD+SE,,"3,6,7", E-0008,2031,,,,,,
 CANADA, CA -1,ROLPHTON NPD, 1987-8,2, Dd+PD+SE,8,, AECL,,,,,,,
CANADA, CA -2,DOUGLAS POINT, 1984-5,2, Dd+SE,8,7, AECL,,,,,,,
CANADA, CA -3,GENTILLY-1, 1977-6,2, Dd+PD+SE,8,7, AECL/HQ,,,,,,,
CANADA, CA -5,PICKERING-2, 2007-5,2, Dd+PD+SE,,, OPG,,,,,,,
CANADA, CA -6,PICKERING-3, 2008-10,2, ISD,,, OPG,,,,,,,
 FRANCE, FR -10,PHENIX, 2010-2,Others, ID,,,,,,,,,,
FRANCE, FR -2,CHINON A-1, 1973-4,"1,2", ID,,, EDF,,,,,,,
FRANCE, FR -24,SUPER-PHENIX, 1998-12,Others, ID,9,"3,6", NERSA,,,,,,,
FRANCE, FR -3,CHINON A-2, 1985-6,"1,2", ID,,, EDF,2025,,,,,,
FRANCE, FR -4,CHINON A-3, 1990-6,"1,2", ID,9,, EDF,,,,,,,
FRANCE, FR -5,CHOOZ-A (ARDENNES), 1991-10,Others, ID,11,, SENA,2019,,,,,,
FRANCE, FR -6,EL-4 (MONTS D'ARREE), 1985-7,"1,2", ID,,, EDF,2015,,,,,,
FRANCE, FR -7,ST. LAURENT A-1, 1990-4,"1,2", ID,,, EDF,2027,,,,,,
FRANCE, FR -8,ST. LAURENT A-2, 1992-5,"1,2", ID,,, EDF,2025,,,,,,
FRANCE, FR -9,BUGEY-1, 1994-5,"1,2", ID,9,, EDF,2020,,,,,,
 GERMANY, DE -1,VAK KAHL, 1985-11,Others, Other,,, VAK,2010,,,,,,
GERMANY, DE -10,STADE, 2003-11,2, ID,"3,4,6",, PElectra,2023,,,,,,
GERMANY, DE -11,NIEDERAICHBACH, 1974-7,6, Other,,, KIT,1995,,,,,,
GERMANY, DE -12,BIBLIS-A, 2011-8,7, ID,,"3,7", RWE,,,,,,,
GERMANY, DE -13,BRUNSBUETTEL, 2011-8,7, ID,1,3, KKB,,,,,,,
GERMANY, DE -14,PHILIPPSBURG-1, 2011-8,7, ID,1,3, EnKK,,,,,,,
GERMANY, DE -15,NECKARWESTHEIM-1, 2011-8,7, ID,1,3, EnKK,,,,,,,
GERMANY, DE -16,ISAR-1, 2011-8,7, ID,2,"2,3", PElectra,2038,,,,,,
GERMANY, DE -17,UNTERWESER, 2011-8,7, ID,2,"2,3", E.ON,2035,,,,,,
GERMANY, DE -18,BIBLIS-B, 2011-8,7, ID,2,, RWE,,,,,,,
 GERMANY, DE -19,THTR-300, 1988-9,"6,Others", Other,,, HKG,,,,,,,
GERMANY, DE -2,MZFR, 1984-5,Others, Other,,, KTE,,,,,,,
GERMANY, DE -20,KRUEMMEL, 2011-8,7, ID,1,3, KKK,,,,,,,
GERMANY, DE -22,MUELHEIM-KAERLICH, 1988-9,7, Other,,, RWE,,,,,,,
GERMANY, DE -23,GRAFENRHEINFELD, 2015-6,7, ID,,"2,3", PElectra,2035,,,,,,
GERMANY, DE -3,GUNDREMMINGEN-A, 1977-1,"6,8", ID,,, KGG,,,,,,,
GERMANY, DE -4,AVR JUELICH, 1988-12,7, ID,"3,4",,,,,,,,,
GERMANY, DE -5,OBRIGHEIM, 2005-5,7, ID,,, EnKK,,,,,,,
GERMANY, DE -501,RHEINSBERG, 1990-6,"1,3,6,7", ID,9,"4,7", G 01 KKR,,,,,,,
GERMANY, DE -502,GREIFSWALD-1, 1990-2,"1,3,6,7", ID,"3,9",7, G 01 KGR,,,,,,,
GERMANY, DE -503,GREIFSWALD-2, 1990-2,"1,3,6,7", ID,"3,9","3,7", G 01 KGR,,,,,,,
GERMANY, DE -504,GREIFSWALD-3, 1990-2,"1,3,6,7", ID,"3,9",7, G 01 KGR,,,,,,,
GERMANY, DE -505,GREIFSWALD-4, 1990-7,"1,3,6,7", ID,3,"3,7", G 01 KGR,,,,,,,
GERMANY, DE -506,GREIFSWALD-5, 1989-11,"1,2,3,6,7", ID,"1,3,9","3,7", G 01 KGR,,,,,,,
GERMANY, DE -6,LINGEN, 1977-1,"2,5,6", ID,"1,3,4,9",, RWE AG,,,,,,,
GERMANY, DE -7,HDR GROSSWELZHEIM, 1971-4,5, Other,,, KIT,1998,,,,,,
GERMANY, DE -8,KNK II, 1991-8,5, Other,,, KTE,,,,,,,
GERMANY, DE -9,WUERGASSEN, 1994-8,2, ID,,, E.ON,,,,,,,
 ITALY, IT -1,LATINA, 1987-12,"7,Others", Other,"3,6",, SOGIN,2043,,,,,,
ITALY, IT -2,GARIGLIANO, 1982-3,"3,4,Others", ID,"3,6,9",, SOGIN,2033,,,,,,
ITALY, IT -3,ENRICO FERMI, 1990-7,"7,Others", ID,6,, SOGIN,2036,,,,,,
ITALY, IT -4,CAORSO, 1990-7,"7,Others", ID,"4,9",, SOGIN,2034,,,,,,
 JAPAN, JP -1,JPDR, 1976-3,Others, ID,3,, JAERI,2002,,,,,,
JAPAN, JP -10,FUKUSHIMA-DAIICHI-3, 2011-5,Others, Other,,, TEPCO DL,,,,,,,
JAPAN, JP -11,HAMAOKA-1, 2009-1,6, Dd+SE,"3,4,6,7",, CHUBU DL,2037,,,,,,
JAPAN, JP -12,GENKAI-1, 2015-4,3, Dd+PD+SE,6,, KYUSHU,,,,,,,
JAPAN, JP -15,OHI-1, 2018-3,3, Dd+PD+SE,8,, KEPCO,2049,,,,,,
JAPAN, JP -16,FUKUSHIMA-DAIICHI-4, 2011-5,Others, Other,,, TEPCO DL,,,,,,,
JAPAN, JP -17,FUKUSHIMA-DAIICHI-5, 2013-12,Others, Other,,, TEPCO DL,,,,,,,
JAPAN, JP -18,FUKUSHIMA-DAIICHI-6, 2013-12,Others, Other,,, TEPCO DL,,,,,,,
JAPAN, JP -19,OHI-2, 2018-3,3, Dd+PD+SE,8,, KEPCO,2049,,,,,,
JAPAN, JP -2,TOKAI-1, 1998-3,2, Dd+PD+SE,"3,4,6,7,9",, JAPCO,2030,,,,,,
 JAPAN, JP -20,FUGEN ATR, 2003-3,2, ID,"1,6",5, JAEA,2034,,,,,,
JAPAN, JP -23,IKATA-1, 2016-5,Others, Dd+SE,7,2, SHIKOKU,2056,,,,,,
JAPAN, JP -24,HAMAOKA-2, 2009-1,6, Dd+SE,"3,4,6,7",, CHUBU DL,2037,,,,,,
JAPAN, JP -3,TSURUGA-1, 2015-4,3, Dd+PD+SE,"3,4,6,7",, JAPCO,2040,,,,,,
JAPAN, JP -31,MONJU, 2017-12,7, ID,"1,2",1,,2047,,,,,,
JAPAN, JP -32,IKATA-2, 2018-5,Others, Other,1,, SHIKOKU,,,,,,,
JAPAN, JP -4,MIHAMA-1, 2015-4,3, Dd+PD+SE,"3,6,8",, KEPCO,2046,,,,,,
JAPAN, JP -5,FUKUSHIMA-DAIICHI-1, 2011-5,Others, Other,,, TEPCO DL,,,,,,,
JAPAN, JP -6,MIHAMA-2, 2015-4,3, Dd+PD+SE,"3,6,8",, KEPCO,2046,,,,,,
JAPAN, JP -7,SHIMANE-1, 2015-4,6, Other,,, CHUGOKU,,,,,,,
JAPAN, JP -9,FUKUSHIMA-DAIICHI-2, 2011-5,Others, Other,,, TEPCO DL,,,,,,,
 KAZAKHSTAN, KZ -10,AKTAU, 1999-4,"2,5", Dd+PD+SE,"1,6","4,7", MAEC-KAZ,,,,,,,
