,Country,Reactor Code,Reactor Name,Type,Model,Capacity (MW)-Thermal,Capacity (MW)-Gross,Capacity (MW)-Net,Operator,"NSSS
supplier","Construction
start","Grid
connection","Commercial
operation",EAF %,UCF %,Non-,Latitude, Longitude
0,INDIA,IN -25,KUDANKULAM-1,PWR,VVER V-412,3000,1000,932,NPCIL,MAEP,2002-3,2013-10,2014-12,52.15391645,52.15391645,-,8.168889,77.7125
1,INDIA,IN -26,KUDANKULAM-2,PWR,VVER V-412,3000,1000,932,NPCIL,MAEP,2002-7,2016-8,2017-3,45.97445934,45.97445934,-,8.16889,77.7125
2,CHINA,CN -36,CHANGJIANG-1,PWR,CNP-600,1930,650,601,HNPC,DEC,2010-4,2015-11,2015-12,87.23255067,87.23255067,-,19.46075,108.8999167
3,CHINA,CN -37,CHANGJIANG-2,PWR,CNP-600,1930,650,601,HNPC,DEC,2010-11,2016-6,2016-8,87.47517464,87.47517464,-,19.46075,108.8999167
4,MEXICO,MX -1,LAGUNA VERDE-1,BWR,BWR-5,2317,805,777,CFE,GE,1976-10,1989-4,1990-7,76.83934936,78.66529799,-,19.72083,96.40639
5,MEXICO,MX -2,LAGUNA VERDE-2,BWR,BWR-5,2317,803,775,CFE,GE,1977-6,1994-11,1995-4,81.55309096,82.9956119,-,19.72083,96.40639
6,INDIA,IN -1,TARAPUR-1,BWR,BWR-1 (Mark 2),530,160,150,NPCIL,GE,1964-10,1969-4,1969-10,69.85193806,70.44363058,-,19.8289806,72.6612056
7,INDIA,IN -2,TARAPUR-2,BWR,BWR-1 (Mark 2),530,160,150,NPCIL,GE,1964-10,1969-5,1969-10,74.32865553,75.03955975,-,19.8289806,72.6612056
8,INDIA,IN -23,TARAPUR-3,PHWR,Horizontal Pre,1730,540,490,NPCIL,NPCIL,2000-5,2006-6,2006-8,85.24523966,89.00068355,-,19.8289806,72.6612056
9,INDIA,IN -24,TARAPUR-4,PHWR,Horizontal Pre,1730,540,490,NPCIL,NPCIL,2000-3,2005-6,2005-9,77.74645994,85.21969413,-,19.8289806,72.6612056
10,CHINA,CN -38,FANGCHENGGANG-1,PWR,CPR-1000,2905,1086,1000,GFNPC,DEC,2010-7,2015-10,2016-1,91.57124393,91.65618686,-,21.67083,108.55833
11,CHINA,CN -39,FANGCHENGGANG-2,PWR,CPR-1000,2905,1086,1000,GFNPC,DEC,2010-12,2016-7,2016-10,91.45607017,91.54684127,-,21.67083,108.55833
12,CHINA,CN -22,YANGJIANG-1,PWR,CPR-1000,2905,1086,1000,YJNPC,CFHI,2008-12,2013-12,2014-3,89.26347183,89.31682837,-,21.70833,112.26111
13,CHINA,CN -23,YANGJIANG-2,PWR,CPR-1000,2905,1086,1000,YJNPC,CFHI,2009-6,2015-3,2015-6,90.26093729,90.35531067,-,21.70833,112.26111
14,CHINA,CN -40,YANGJIANG-3,PWR,CPR-1000,2905,1086,1000,YJNPC,CFHI,2010-11,2015-10,2016-1,92.07751426,92.40078514,-,21.70833,112.26111
15,CHINA,CN -41,YANGJIANG-4,PWR,CPR-1000,2905,1086,1000,YJNPC,CFHI,2012-11,2017-1,2017-3,88.5329416,88.64515524,-,21.70833,112.26111
16,CHINA,CN -47,YANGJIANG-5,PWR,ACPR-1000,2905,1086,1000,YJNPC,CFHI,2013-9,2018-5,2018-7,87.97546979,88.25297587,-,21.70833,112.26111
17,CHINA,CN -48,YANGJIANG-6,PWR,ACPR-1000,2905,1086,1000,YJNPC,CFHI,2013-12,2019-6,2019-7,99.99669118,99.99669118,-,21.70833,112.26111
18,CHINA,CN -32,TAISHAN-1,PWR,EPR-1750,4590,1750,1660,TNPJVC,AREVA,2009-11,2018-6,2018-12,90.27783425,90.27783425,-,21.91778,112.98194
19,CHINA,CN -33,TAISHAN-2,PWR,EPR-1750,4590,1750,1660,TNPJVC,AREVA,2010-4,2019-6,—,0,0,-,21.91778,112.98194
20,CHINA,CN -2,DAYA BAY-1,PWR,M310,2905,984,944,DNMC,FRAM,1987-8,1993-8,1994-2,90.57189926,90.65996338,-,22.59722,114.54444
21,CHINA,CN -3,DAYA BAY-2,PWR,M310,2905,984,944,DNMC,FRAM,1988-4,1994-2,1994-5,90.58904647,90.70578908,-,22.59722,114.54444
22,CHINA,CN -6,LING AO-1,PWR,M310,2905,990,950,DNMC,FRAM,1997-5,2002-2,2002-5,90.61761634,90.98729215,-,22.6047889,114.5514889
23,CHINA,CN -7,LING AO-2,PWR,M310,2905,990,950,DNMC,FRAM,1997-11,2002-9,2003-1,91.51492059,91.86857962,-,22.6047889,114.5514889
24,CHINA,CN -12,LING AO-3,PWR,CPR-1000,2905,1086,1007,DNMC,DEC,2005-12,2010-7,2010-9,87.89539541,88.17158877,-,22.6047889,114.5514889
25,CHINA,CN -13,LING AO-4,PWR,CPR-1000,2905,1086,1007,DNMC,DEC,2006-6,2011-5,2011-8,89.75082611,90.0914123,-,22.6047889,114.5514889
26,BRAZIL,BR -1,ANGRA-1,PWR,WH 2LP,1882,640,609,ELETRONU,WH,1971-5,1982-4,1985-1,84.72602796,84.86226459,-,23.00833,44.45722
27,BRAZIL,BR -2,ANGRA-2,PWR,PRE KONVOI,3764,1350,1275,ELETRONU,KWU,1976-1,2000-7,2001-2,90.70490872,91.34354847,-,23.00833,44.45722
28,INDIA,IN -3,RAJASTHAN-1,PHWR,Horizontal Pre,346,100,90,NPCIL,AECL,1965-8,1972-11,1973-12,-8.26E-14,-8.26E-14,PH,24.87222,75.61389
29,INDIA,IN -4,RAJASTHAN-2,PHWR,Horizontal Pre,693,200,187,NPCIL,AECL/DAE,1968-4,1980-11,1981-4,78.23689054,81.24831753,PH,24.87222,75.61389
30,INDIA,IN -11,RAJASTHAN-3,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,1990-2,2000-3,2000-6,88.35443529,91.68745758,PH,24.87222,75.61389
31,INDIA,IN -12,RAJASTHAN-4,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,1990-10,2000-11,2000-12,91.03706664,93.00221402,PH,24.87222,75.61389
32,INDIA,IN -19,RAJASTHAN-5,PHWR,Horizontal Pre,801,220,202,NPCIL,NPCIL,2002-9,2009-12,2010-2,91.57705481,91.7530314,-,24.87222,75.61389
