Power station,# units[note 1],Net capacity[note 2](MWe),Country,Degrees,Latitude,Longitude
Almaraz,2,2017,Spain,39°48′29″N 05°41′49″W﻿ ,39.80806,5.69694
Angra,2,"1,884[note 3]",Brazil,23°00′30″S 44°28′26″W﻿ ,23.00833,44.47389
ANO,2,1839,United States,35°18′37″N 93°13′53″W﻿ ,35.31028,93.23139
Asco,2,1992,Spain,41°12′00″N 00°34′10″E﻿ ,41.2,0.56944
Atucha,2,1027,Argentina,33°58′3″S 59°12′18″W﻿ ,33.9675,59.205
Balakovo,4,3800,Russia,52°05′28″N 47°57′19″E﻿ ,52.09111,47.95528
Barakah,1,"1,345[note 4]",UAE,23°59′6″N 52°17′1″E﻿ ,23.985,52.28361
Beaver Valley,2,1738,United States,40°37′24″N 80°25′50″W﻿ ,40.62333,80.43056
Belarusian,1,"1,110[note 5]",Belarus,54°45′43″N 26°7′12″E﻿ ,54.76194,26.12
Belleville,2,2620,France,47°30′35″N 02°52′30″E﻿ ,47.50972,2.875
Beloyarsk,2,"1,597[note 6]",Russia,56°50′30″N 61°19′21″E﻿ ,56.84167,61.3225
Blayais,4,3640,France,45°15′21″N 00°41′35″W﻿ ,45.25583,0.69306
Braidwood,2,2330,United States,41°14′37″N 88°13′45″W﻿ ,41.24361,88.22917
Brokdorf,1,1410,Germany,53°51′03″N 09°20′41″E﻿ ,53.85083,9.34472
Browns Ferry,3,3300,United States,34°42′14″N 87°07′07″W﻿ ,34.70389,87.11861
Bruce,8,6430,Canada,44°19′31″N 81°35′58″W﻿ ,44.32528,81.59944
Brunswick,2,1858,United States,33°57′30″N 78°0′37″W﻿ ,33.95833,78.01028
Bugey,4,"3,580[note 7]",France,45°48′00″N 05°16′15″E﻿ ,45.8,5.27083
Byron,2,2300,United States,42°4′27″N 89°16′55″W﻿ ,42.07417,89.28194
Callaway,1,1190,United States,38°45′42″N 91°46′48″W﻿ ,38.76167,91.78
Calvert Cliffs,2,1735,United States,38°25′55″N 76°26′32″W﻿ ,38.43194,76.44222
Catawba,2,2258,United States,35°3′6″N 81°4′12″W﻿ ,35.05167,81.07
Cattenom,4,5200,France,49°24′57″N 06°13′05″E﻿ ,49.41583,6.21806
Cernavoda,2,1300,Romania,44°19′20″N 28°03′26″E﻿ ,44.32222,28.05722
Changjiang,2,1220,China,19°25′23″N 108°48′45″E﻿ ,19.42306,108.8125
Chashma,4,1230,Pakistan,32°23′25″N 71°27′45″E﻿ ,32.39028,71.4625
Chinon,4,"3,620[note 8]",France,47°13′50″N 00°10′14″E﻿ ,47.23056,0.17056
Chooz,2,"3,000[note 9]",France,50°05′24″N 04°47′22″E﻿ ,50.09,4.78944
Civaux,2,2990,France,46°27′24″N 00°39′10″E﻿ ,46.45667,0.65278
Clinton,1,1043,United States,40°10′20″N 88°50′06″W﻿ ,40.17222,88.835
Cofrentes,1,1064,Spain,39°13′00″N 01°03′00″W﻿ ,39.21667,1.05
Columbia,1,1107,United States,46°28′16″N 119°20′02″W﻿ ,46.47111,119.33389
Comanche Peak,2,2367,United States,32°17′54″N 97°47′06″W﻿ ,32.29833,97.785
Cruas,4,3660,France,44°37′59″N 04°45′24″E﻿ ,44.63306,4.75667
Dampierre,4,3560,France,47°43′59″N 02°31′00″E﻿ ,47.73306,2.51667
Darlington,4,3512,Canada,43°52′22″N 78°43′11″W﻿ ,43.87278,78.71972
Daya Bay,2,1888,China,22°35′52″N 114°32′37″E﻿ ,22.59778,114.54361
Diablo Canyon,2,2240,United States,35°12′39″N 120°51′22″W﻿ ,35.21083,120.85611
