,Country,Reactor Code,Reactor Name,Type,Thermal Capacity (MW),Gross Capacity (MW),Net Capacity (MW),Operator,"NSSS
supplier","Construction
start","Grid
connection","Commercial
operation",Shut down,Coordinates,Latitude,Longitude
0, ARMENIA, AM -18,ARMENIAN-1, PWR,1375,408,376, ANPPCJSC,FAEA,1969-7,1976-12,1977-10,1989-2,"40.180844N, 44.148908E",nan,nan
1, BELGIUM, BE -1,BR-3, PWR,41,12,10, CEN/SCK,WH,1957-11,1962-10,1962-10,1987-6,"51.218524N, 5.093236E",nan,nan
2, BULGARIA, BG -1,KOZLODUY-1, PWR,1375,440,408, KOZNPP,AEE,1970-4,1974-7,1974-10,2002-12,43.74611°N 23.77056°E,43°44′46″N,23°46′14″E
3,BULGARIA, BG -2,KOZLODUY-2, PWR,1375,440,408, KOZNPP,AEE,1970-4,1975-8,1975-11,2002-12,43.74611°N 23.77056°E,43°44′46″N,23°46′14″E
4,BULGARIA, BG -3,KOZLODUY-3, PWR,1375,440,408, KOZNPP,AEE,1973-10,1980-12,1981-1,2006-12,43.74611°N 23.77056°E,43°44′46″N,23°46′14″E
5,BULGARIA, BG -4,KOZLODUY-4, PWR,1375,440,408, KOZNPP,AEE,1973-10,1982-5,1982-6,2006-12,43.74611°N 23.77056°E,43°44′46″N,23°46′14″E
6, CANADA, CA -2,DOUGLAS POINT, PHWR,704,218,206, OH,AECL,1960-2,1967-1,1968-9,1984-5,44.32667°N 81.60000°W,44°19′36″N,81°36′00″W
7,CANADA, CA -3,GENTILLY-1, HWLWR,792,266,250, HQ,AECL,1966-9,1971-4,1972-5,1977-6,46.39583°N 72.35694°W,46°23′45″N,72°21′25″W
8,CANADA, CA -12,GENTILLY-2, PHWR,2156,675,635, HQ,AECL,1974-4,1982-12,1983-10,2012-12,46.39583°N 72.35694°W,46°23′45″N,72°21′25″W
9,CANADA, CA -5,PICKERING-2, PHWR,1744,542,515, OPG,OH/AECL,1966-9,1971-10,1971-12,2007-5,43.81167°N 79.06583°W,43°48′42″N,79°03′57″W
